Router Name,Country Code,Bandwidth (KB/s),Uptime (Hours),IP Address,Hostname,ORPort,DirPort,Flag - Authority,Flag - Exit,Flag - Fast,Flag - Guard,Flag - Named,Flag - Stable,Flag - Running,Flag - Valid,Flag - V2Dir,Platform,Flag - Hibernating,Flag - Bad Exit,FirstSeen,ASName,ASNumber,ConsensusBandwidth,OrAddress
Allan,FR,969,681,86.202.121.213,LFbn-1-9755-213.w86-202.abo.wanadoo.fr,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.4.27 on Linux,0,0,2014-12-22,AS3215 - FR,3215,6010,None
idideditheconfig,US,969,253,67.2.194.207,67-2-194-207.slkc.qwest.net,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.5.12 on Linux,0,0,2016-04-29,CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company- LLC- US,209,2330,None
smallsweatnode,RU,968,253,37.153.1.10,tftp2.weba.ru,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.8.11 on Linux,0,0,2014-08-29,SETI-WEBA - RU,196750,4280,None
2bitgblon01,GB,965,290,46.101.21.201,gb-lon01.2bit.co,9090,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.8.11 on FreeBSD,0,0,2016-12-23,DIGITALOCEAN-ASN-2 - GB,202109,8270,None
Gamma,FR,965,656,51.15.55.145,145-55-15-51.rev.cloud.scaleway.com,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.8.9 on Linux,0,0,2016-12-07,AS12876 - FR,12876,6620,None
FastPixel,US,964,293,96.237.64.213,pool-96-237-64-213.bstnma.fios.verizon.net,9001,9030,0,0,1,0,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2016-09-17,UUNET - MCI Communications Services- Inc. d/b/a Verizon Business- US,701,3750,None
gratinee,US,961,1086,173.213.108.116,173.213.108.116,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.8.9 on Linux,0,0,2014-04-27,SERVERHUB-PHOENIX - Eonix Corporation- US,30693,5530,None
WilliamISRAEL6,IL,961,174,91.202.168.185,bestglobalmart.com,9001,8080,0,0,1,1,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2016-09-14,GNS-ASN - IL,44709,5360,None
Ferguson,DE,960,47,78.46.221.48,xn--nt-fkaa.de,9999,None,0,0,1,0,0,0,1,1,0,Tor 0.2.8.6 on FreeBSD,0,0,2015-04-12,HETZNER-AS - DE,24940,8500,[2a01:4f8:c17:1667::2]:9999
cragg,CR,959,443,190.10.8.50,caam-190-10-8-a050.racsa.co.cr,443,80,0,1,1,1,0,1,1,1,1,Tor 0.2.6.10 on Linux,0,0,2015-12-04,RADIOGRAFICA COSTARRICENSE- CR,3790,4010,None
nxaat,DE,958,164,138.201.92.183,hecx20.p.nxa.at,110,None,0,0,1,1,0,1,1,1,0,Tor 0.2.9.8 on Linux,0,0,2014-05-04,HETZNER-AS - DE,24940,5400,[2a01:4f8:c17:3e7e::70a]:443
SweTor247,SE,958,1474,81.227.216.76,h76n4-vn-a12.ias.bredband.telia.com,443,110,0,0,1,1,0,1,1,1,1,Tor 0.2.5.12 on Linux,0,0,2015-12-31,TELIANET-SWEDEN - SE,3301,4850,None
Agadius,DE,957,767,85.214.25.53,svr.agadius.de,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.8.9 on Windows 8 [server],0,0,2016-09-02,STRATO STRATO AG- DE,6724,4500,None
ctr0003,DE,953,821,84.19.178.79,km22519-02.keymachine.de,80,None,0,0,1,0,0,1,1,1,0,Tor 0.2.8.9 on Linux,0,0,2016-01-04,KEYWEB-AS - DE,31103,3490,None
geekbox,DE,952,448,5.9.151.241,geekbox.info,4223,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.8.11 on Linux,0,0,2013-09-19,HETZNER-AS - DE,24940,5720,None
TadP0le2Fr0g,FR,952,11606,62.210.198.152,62-210-198-152.rev.poneytelecom.eu,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.6.10 on Linux,0,0,2014-09-18,AS12876 - FR,12876,5270,None
coma,FR,951,132,185.66.103.81,81-103-66-185.ftth.cust.kwaoo.net,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.5.12 on Linux,0,0,2016-12-09,KWAOO K-NET SARL- FR,24904,5370,None
Unnamed,DE,951,162,148.251.245.151,686e.de,9050,None,0,0,1,1,0,1,1,1,0,Tor 0.2.4.27 on Linux,0,0,2016-11-04,HETZNER-AS - DE,24940,12300,None
dc6jgk9,CA,949,1299,144.217.56.140,ip140.ip-144-217-56.net,443,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.8.9 on Linux,0,0,2016-11-11,OVH - FR,16276,5710,None
hophophop,US,949,345,104.236.41.56,104.236.41.56,443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.5.12 on Linux,0,0,2016-11-19,DIGITALOCEAN-ASN-NY3 - Digital Ocean- Inc.- US,393406,5430,None
DeepBlueOcean,GR,948,419,83.212.104.145,snf-25547.vm.okeanos.grnet.gr,80,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2014-04-17,GR-NET http://www.grnet.gr- GR,5408,4200,None
BlazingVPN,FR,946,93,51.15.47.106,106-47-15-51.rev.cloud.scaleway.com,9001,80,0,1,1,0,0,0,1,1,1,Tor 0.2.9.8 on Linux,0,0,2016-12-31,AS12876 - FR,12876,3380,None
DontPanicItsOrganic,FR,944,6028,5.39.83.27,ns322672.ip-5-39-83.eu,59001,59030,0,0,1,1,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2016-04-28,OVH - FR,16276,4040,None
Unnamed,US,944,470,45.63.54.143,us-la-tor2.intellisrv.space,9001,None,0,0,1,1,0,1,1,1,0,Tor 0.2.8.9 on Linux,0,0,2016-06-26,AS-CHOOPA - Choopa- LLC- US,20473,5280,None
EHVAGhouse,DE,941,3129,144.76.45.74,house.ehvag.de,9090,None,0,0,1,0,0,1,1,1,0,Tor 0.2.8.6 on FreeBSD,0,0,2015-06-27,HETZNER-AS - DE,24940,2780,None
Taureau,CA,939,317,149.56.100.148,bh.fragara.com,8443,80,0,0,1,1,0,1,1,1,1,Tor 0.2.9.8 on Linux,0,0,2016-09-20,OVH - FR,16276,3050,None
t4cc0reTor1,FR,937,513,51.15.50.36,tor1.pub.t4cc0.re,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2016-12-13,AS12876 - FR,12876,8950,None
Improvy,DE,935,229,138.201.58.206,srv-01.improvy.co,9001,None,0,0,1,1,0,1,1,1,0,Tor 0.2.9.8 on Linux,0,0,2016-05-23,HETZNER-AS - DE,24940,5270,None
PLUTEX,DE,934,642,109.69.67.17,tor.plutex.de,443,80,0,0,1,0,0,1,1,1,1,Tor 0.2.8.7 on Linux,0,0,2015-11-26,PLUTEX Hermann-Ritter-Str. 108- DE,49855,863,None
o9k,DE,932,6894,81.7.10.68,tor-relay.overninethousand.de,1444,80,0,0,1,1,0,1,1,1,1,Tor 0.2.7.6 on Linux,0,0,2014-06-15,ISPPRO-AS EUserv / KOS-Online / Keepfree- DE,35366,2750,None
minitx,FR,929,259,90.104.150.191,LFbn-1-4923-191.w90-104.abo.wanadoo.fr,9001,9030,0,0,1,1,0,1,1,1,1,Tor 0.2.5.12 on Linux,0,0,2015-07-22,AS3215 - FR,3215,5880,None
torNodeHda,DE,928,209,5.189.132.79,vmd9077.contabo.host,9001,None,0,0,1,1,0,1,1,1,0,Tor 0.2.9.8 on Linux,0,0,2015-08-31,CONTABO - DE,51167,4330,None
vikingbjorn,IS,927,1040,193.107.85.57,193.107.85.57,9001,9030,0,1,1,1,0,1,1,1,1,Tor 0.2.6.10 on Linux,0,0,2014-06-04,THORDC-AS - IS,50613,2630,None
934188bd,RU,926,168,91.247.251.26,client-pool-91-247-251-26.ivstar.net,12072,4570,0,0,1,1,0,1,1,1,1,Tor 0.2.5.12 on Linux,0,0,2016-07-15,IVSTARNET-AS - RU,29588,2140,None
niftynutria,US,925,138,23.254.167.185,cvps11712872131.hostwindsdns.com,20,21,0,0,1,1,0,1,1,1,1,Tor 0.2.8.9 on Linux,0,0,2016-11-25,HOSTWINDS - Hostwinds LLC.- US,54290,8770,None
